sample_point_id,sp_name,latitude,longitude,sample_datetime,time_basis_id,param_id,param_name,value,param_std_unit_of_measure,param_short_name
number,string,number,number,datetime,string,string,string,number,string,string
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 13:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,11.60000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 14:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.900000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 15:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,3.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 16:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.899999619,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 17:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.300000191,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 18:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 19:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,1.600000024,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 20:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.900000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 21:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,3.200000048,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 22:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,3.400000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,02/01/2019 23:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,-6.599999905,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 00:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,1.899999976,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 01:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,2.799999952,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 02:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.400000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 03:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,2.299999952,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 04:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,0.899999976,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 05:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,4,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 06:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 07:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 08:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,7.5,ug/m3,PM2.5
